title,description
Mean Girls,A new student navigates the vicious social hierarchy of a suburban high school clique and plots revenge on its queen bee.
Cloverfield,A group of friends document with a handheld camera the night a colossal monster rises from the sea and tears through New York City.
127 Hours,A lone canyoneer becomes pinned by a boulder in a remote Utah canyon and must take a desperate action to survive.
Hot Tub Time Machine,Four friends are transported back to the 1980s by a malfunctioning hot tub and try not to change the future.
The Interview,Two bumbling tabloid journalists are recruited by the CIA to assassinate a foreign dictator during an exclusive interview.
Now You See Me 2,A team of illusionists is blackmailed into pulling off an impossible heist while staying one step ahead of the law.
The Disaster Artist,The affectionate true story of the eccentric filmmaker behind one of the most notoriously bad cult movies ever made.
Extinction,A haunted father's recurring nightmares of an apocalyptic attack become real when invaders threaten his family.
Allied,In 1942 a Canadian intelligence officer falls for a French Resistance fighter, then comes to suspect she is a German spy.
Orange County,An earnest high-school senior's dream of attending Stanford collapses into a chaotic day of mishaps and misfires.
Bachelorette,Three troubled bridesmaids reunite and spiral out of control the night before their friend's wedding.
Cobweb,A withdrawn young boy is tormented by a mysterious, persistent knocking coming from inside the walls of his home.
